,Area Code,Off Gas Grid (Thousands),Proportion Off Gas Grid,Number of households in fuel poverty,Proportion of households fuel poor (%),Mains gas only,Mains gas only (%),Tank or bottled gas only,Tank or bottled gas only (%),Gas only,Gas only (%),Electric only,Electric only (%),Oil only,Oil only (%),All Houses,All Houses (%),All Houses - Detached or Semi,All Houses - Detached or Semi (%),Houses - Detached,Houses - Detached (%),Houses - Semi-Detached,Houses - Semi-Detached (%),Houses - Terraced,Houses - Terraced (%),Non-House Accommodation,Non-House Accommodation (%),Tenure - Owned,Tenure - Owned (%),Tenure - Social,Tenure - Social (%),Tenure - Private Rent,Tenure - Private Rent (%),LA Name 2021,Proportion of homes needing loft insulation,Proportion of homes needing cavity wall insulation,Number of homes needing loft insulation,Number of homes needing cavity wall insulation,LA Name 2019,Income - Average score ,Employment - Average score ,Average Index of Multiple Deprivation (IMD) Decile,Max Index of Multiple Deprivation (IMD) Decile
46,E07000123,6.0,0.0920810313075506,9345.0,15.345583526282084,46090.0,77.32053884480533,338.0,0.5670284688553742,46428.0,77.88756731366068,4803.0,8.057508094415274,688.0,1.1541881259541344,49137.0,82.43494891539585,31706.0,53.191739225258786,11348.0,19.038032445853677,20358.0,34.1537067794051,17431.0,29.24320969013706,10420.0,17.481168319157145,35254.0,59.1440602613787,10983.0,18.425688258090492,11923.0,20.002684248494305,Preston,0.156484716157205,0.230436681222707,10100.0,14900.0,Preston,0.162,0.123,4.162790697674419,1.0
47,E07000124,4.08,0.145766345123258,3648.0,13.356766256590511,19230.0,71.8959135603993,704.0,2.6320708864545557,19934.0,74.52798444685385,1062.0,3.970538752009571,1888.0,7.0587355591281264,24434.0,91.35230119265711,16876.0,63.094926533816874,9217.0,34.45993943245971,7659.0,28.63498710135716,7558.0,28.257374658840245,2021.0,7.555987587392979,20591.0,76.98433469174113,2151.0,8.042023404493962,3273.0,12.23688637978091,Ribble Valley,0.171945964830558,0.20606731105159,4800.0,5800.0,Ribble Valley,0.057,0.06,7.95,4.0
48,E07000125,1.26,0.0390576565406076,4797.0,15.377957299480668,25262.0,82.65820299718605,146.0,0.4777174268699692,25408.0,83.13592042405602,1162.0,3.8021071919377003,231.0,0.7558405863490609,27350.0,89.49021660886068,14675.0,48.01714547477259,6634.0,21.70669458805052,8041.0,26.310450886722077,12675.0,41.47307113408809,3127.0,10.231660231660232,20822.0,68.1325872844475,4514.0,14.770459081836327,4459.0,14.590491148849841,Rossendale,0.217543686444861,0.18708658307829,7000.0,6000.0,Rossendale,0.145,0.122,4.488372093023256,1.0
49,E07000126,1.48,0.0293185419968304,4969.0,10.007451714901416,40817.0,84.00979706088172,333.0,0.6853826205079653,41150.0,84.6951796813897,1972.0,4.058782365290413,383.0,0.7882929238875396,44278.0,91.12949699514283,36109.0,74.31670371285091,14458.0,29.756318432534783,21651.0,44.560385280316126,8169.0,16.812793282291924,4124.0,8.487692434345929,37323.0,76.8168440117727,5039.0,10.371086916253319,5339.0,10.988536028155679,South Ribble,0.186950097387333,0.229162468936799,9500.0,11600.0,South Ribble,0.091,0.081,6.7,1.0
50,E07000127,5.32,0.105034550839092,6492.0,13.106678510861666,38028.0,78.35493375641316,1116.0,2.299466342488616,39144.0,80.65440009890177,2177.0,4.485607730822327,1586.0,3.2678795870850763,43255.0,89.12492530855293,33071.0,68.14126470648837,14794.0,30.482352213957515,18277.0,37.65891249253085,10184.0,20.983660602064575,4724.0,9.733583335050378,34767.0,71.63579420188326,6958.0,14.336636927451424,5754.0,11.85585065831496,West Lancashire,0.194243142566881,0.224686759227904,9900.0,11400.0,West Lancashire,0.123,0.105,6.164383561643835,1.0
51,E07000128,4.81,0.08995698522536,6996.0,13.49354832487897,40193.0,79.17150905115527,808.0,1.5915850847991804,41001.0,80.76309413595446,2830.0,5.574487363838714,1226.0,2.414954596489846,44374.0,87.40717395158272,35636.0,70.1952055469104,15200.0,29.94070951602419,20436.0,40.25449603088621,8738.0,17.211968404672326,5251.0,10.343333267673883,37643.0,74.14856107313807,3871.0,7.625032008982213,8064.0,15.884334311659149,Wyre,0.219325748753322,0.288333482636089,11600.0,15200.0,Wyre,0.125,0.112,5.579710144927536,1.0
52,E08000001,7.22,0.0572924932550389,18718.0,15.428491357638002,96195.0,80.97972034447633,402.0,0.3384151731220904,96597.0,81.31813551759844,8045.0,6.772512606386114,250.0,0.21045719721523035,102919.0,86.63944776496338,63455.0,53.41779611078373,20799.0,17.509049583298257,42656.0,35.90874652748548,39464.0,33.221651654179645,15782.0,13.285630103544069,73576.0,61.93787355838033,23555.0,19.829110194460814,18776.0,15.806044279821535,Bolton,0.188788190696156,0.245763562875003,23600.0,30700.0,Bolton,0.186,0.143,4.209039548022599,1.0
53,E08000002,3.97,0.0471216617210682,11013.0,13.367075701853404,67065.0,83.11026842144398,225.0,0.2788311398616997,67290.0,83.38909956130567,4957.0,6.14295982353087,182.0,0.22554341091035268,69117.0,85.65214697317059,46300.0,57.376541297478155,15185.0,18.817770617758224,31115.0,38.558770679719935,22817.0,28.27560567569242,11529.0,14.28713055331805,54284.0,67.27058677737159,12044.0,14.925336142264081,12628.0,15.649048887787348,Bury,0.189571972223312,0.285613401859626,16000.0,24100.0,Bury,0.145,0.124,5.216666666666667,1.0
54,E08000003,52.56,0.220100502512563,40064.0,18.285130096254342,143876.0,67.00165320045637,1039.0,0.4838521899084919,144915.0,67.48550539036486,39199.0,18.254592870281975,193.0,0.08987822199455142,140151.0,65.26786878527653,80131.0,37.31674831883464,11603.0,5.403479686306651,68528.0,31.913268632527984,60020.0,27.951120466441893,74389.0,34.64271743382449,81606.0,38.00365106272004,63276.0,29.467429167520443,65041.0,30.289383976305352,Manchester,0.116614330573794,0.17949165265751,26900.0,41500.0,Manchester,0.219,0.139,2.5425531914893615,1.0
55,E08000004,4.08,0.0419278594183537,15261.0,16.034672970843182,75150.0,80.68585662289695,432.0,0.4638228883711442,75582.0,81.1496795112681,4829.0,5.184723907278369,269.0,0.28881564113851343,81634.0,87.64655357526304,45796.0,49.168992913893064,12356.0,13.266051105862143,33440.0,35.90294180803092,35838.0,38.47756066136998,11432.0,12.273996134850762,56641.0,60.81275499248443,19760.0,21.215374704745543,14253.0,15.302770023620358,Oldham,0.188628359298157,0.279404765682013,18200.0,26900.0,Oldham,0.193,0.145,3.8439716312056738,1.0
